Country.Name	gini_index	pop_living_slums	poverty_headcount_1.9	rural_poverty_headcount	SI.DST.02ND.20	SI.DST.03RD.20	SI.DST.04TH.20	SI.DST.05TH.20	SI.DST.10TH.10	SI.DST.FRST.10	SI.DST.FRST.20	SI.POV.2DAY	SI.POV.GAP2	SI.POV.GAPS	SI.POV.NAGP	SI.POV.NAHC	SI.POV.RUGP	SI.POV.URGP	SI.SPR.PC40	SI.SPR.PC40.ZG	SI.SPR.PCAP	SI.SPR.PCAP.ZG	urban_poverty_headcount
Dominica	NA	16.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dominican Republic	47.07	12.1	2.32	51.2	8.82	13.18	19.96	53.11	37.41	1.9	4.93	9.12	2.4	0.56	NA	32.4	NA	NA	4.26	1.4184	12.4	-0.1758	36.3
Ecuador	45.38	36	3.82	35.3	9.39	13.86	20.91	51	35.24	1.7	4.84	10.22	3.48	1.43	8.5	23.3	13.6	5.1	4.23	7.2454	11.88	4.3816	16.4
Egypt, Arab Rep.	NA	10.6	NA	32.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.2	NA	NA	NA	NA	NA	NA	15.3
El Salvador	41.84	NA	2.97	37.9	10.09	14.58	21.35	48.26	32.31	2.19	5.72	11.29	3	0.64	NA	31.8	NA	NA	3.94	3.7407	9.96	1.3456	28.5
Equatorial Guinea	NA	66.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eritrea	NA	69.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Estonia	33.15	NA	0.99	NA	12.86	16.48	22.67	40.83	25.25	2.47	7.17	1.61	1.23	1.21	NA	21.8	NA	NA	11.55	-2.0967	23.07	-1.2415	NA
Ethiopia	33.17	73.9	33.54	30.4	12.61	16.34	21.34	41.67	27.4	3.18	8.03	71.27	26.54	9.04	7.8	29.6	8	6.9	NA	NA	NA	NA	25.7
Faroe Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fiji	42.78	NA	4.07	44	10.13	13.88	20.16	49.73	34.66	2.45	6.1	18.5	4.56	0.82	9.9	35.2	12.8	6.9	NA	NA	NA	NA	26.2
Finland	27.12	NA	NA	NA	13.97	17.45	22.47	36.68	22.29	3.85	9.43	NA	NA	NA	NA	NA	NA	NA	28.86	1.5527	49.35	1.0726	NA
France	33.1	NA	NA	NA	12.62	16.52	21.82	41.23	26.84	3.07	7.8	NA	NA	NA	NA	NA	NA	NA	26.83	0.1888	52.53	0.3917	NA
French Polynesia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gabon	NA	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gambia, The	NA	34.8	NA	73.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.9	48.4	NA	NA	NA	NA	NA	NA	32.7
Georgia	40.09	NA	9.77	18.8	10.49	15.35	22.52	46.05	29.83	2.05	5.59	25.27	8.5	2.89	4.3	14.8	5.7	2.7	2.64	4.5781	6.58	3.9966	10.5
Germany	30.13	NA	NA	NA	13.12	17.23	22.65	38.64	23.69	3.36	8.37	NA	NA	NA	NA	NA	NA	NA	28.35	1.3533	52.79	0.1437	NA
Ghana	NA	37.9	NA	37.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.8	24.2	13.1	2.5	NA	NA	NA	NA	10.6
Gibraltar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greece	36.68	NA	NA	NA	11.67	17.18	23.29	42.31	26.74	1.74	5.55	NA	NA	NA	NA	NA	NA	NA	9.63	-10.0246	22.36	-8.4034	NA
Greenland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Grenada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guatemala	48.66	34.5	9.32	76.10289582453	8.5	13.08	20.06	53.91	38.36	1.64	4.44	24.05	8.11	2.72	NA	59.29	NA	NA	NA	NA	NA	NA	42.162316152966
Guinea	33.73	43.3	35.27	64.7	12.18	16.39	22.38	41.5	26.41	3.03	7.56	68.65	27.12	10.34	18.4	55.2	22.6	9.6	NA	NA	NA	NA	35.4
Guinea-Bissau	50.66	82.3	67.08	75.6	8.3	12.22	18.29	56.7	42	1.63	4.49	83.59	48.5	30.53	NA	69.3	NA	NA	NA	NA	NA	NA	51
Guyana	NA	33.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haiti	60.79	74.4	53.91	74.9	5.49	9.97	18.26	64.29	48.21	0.55	1.98	70.99	42.16	28.9	24.4	58.5	NA	NA	NA	NA	NA	NA	40.6
Honduras	50.64	27.5	15.96	65	7.73	12.95	20.68	55.13	38.36	1.15	3.5	31.21	12.97	6.01	49.3	62.8	51.1	47.7	2.18	-2.5255	7.77	-3.1309	61
Hong Kong SAR, China	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hungary	30.55	NA	0.26	NA	13.35	17.6	22.68	38.58	23.93	2.99	7.8	0.52	0.27	0.21	NA	14.9	NA	NA	9.88	-1.9324	18.69	-0.6659	NA
Iceland	26.94	NA	NA	NA	14.21	17.86	22.37	36.38	22.11	3.67	9.18	NA	NA	NA	NA	NA	NA	NA	27.17	-3.8531	46.47	-4.5627	NA
India	35.15	24	21.23	25.7	11.87	15.31	20.58	43.97	29.77	3.56	8.28	57.96	18.46	4.27	4	21.9	4.6	2.5	1.82	3.2015	3.63	3.6963	13.7
Indonesia	39.47	21.8	8.25	14.2	10.41	14.26	20.71	47.38	31.91	3.14	7.23	36.44	9.58	1.25	1.8	11.3	2.3	1.3	2.36	3.8435	5.33	3.4095	8.3
Iran, Islamic Rep.	37.35	51.9	0.08	NA	11.07	15.59	21.95	44.59	29.08	2.85	6.81	0.66	0.12	0.03	NA	NA	NA	NA	7.41	3.05	16.59	-1.2	NA
Iraq	NA	47.2	NA	30.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.1	18.9	7.6	2.5	NA	0.4581	NA	1.111	14.8
Ireland	32.52	NA	NA	NA	12.65	16.75	22.28	40.57	25.55	3.05	7.73	NA	NA	NA	NA	NA	NA	NA	20.92	-4.3837	41.05	-3.8799	NA
Isle of Man	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Israel	42.78	NA	NA	NA	9.62	15.48	22.89	47.4	31.27	1.69	4.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	35.16	NA	NA	NA	12.28	16.97	22.84	41.68	26.3	1.92	6.23	NA	NA	NA	NA	NA	NA	NA	18.37	-2.8552	39.72	-1.8202	NA
Jamaica	41.11	NA	4.56	25.1	10.16	14.48	21.28	47.94	32.05	2.47	6.15	18.96	4.79	0.88	NA	19.9	NA	NA	NA	NA	NA	NA	12.6
Japan	32.11	NA	NA	NA	12.88	17.32	22.72	39.72	24.77	2.68	7.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jordan	NA	12.9	NA	16.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	14.4	NA	NA	NA	NA	NA	NA	13.9
Kazakhstan	26.33	NA	0.04	4.4	13.82	17.45	22.4	36.35	21.99	4.31	9.96	0.26	0.05	0.01	0.3	2.7	NA	NA	7.13	6.6517	11.99	5.5926	1.3
Kenya	NA	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kiribati	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korea, Dem. People’s Rep.	NA	68.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korea, Rep.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kosovo	26.71	NA	0.78	31.5	14.2	17.68	22.37	36.37	22.02	3.84	9.39	3.52	0.83	0.19	7.5	29.7	7.8	7.1	NA	NA	NA	NA	26.7
Kuwait	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kyrgyz Republic	26.82	NA	1.29	33.6	13.8	17.17	21.98	37.03	22.89	4.37	10.02	17.47	2.98	0.23	5.4	32.1	7.9	7.3	3.14	0.404	5.28	-1.0871	29.3
Lao PDR	37.89	31.4	16.72	28.6	11.13	15	20.77	45.86	30.84	3.01	7.25	46.86	14.72	3.61	5.5	23.2	6.8	2.3	2.05	1.5256	4.29	2.2408	10
Latvia	35.48	NA	1.38	NA	12.19	16.51	22.57	42.39	26.63	2.19	6.34	2.59	1.33	0.97	NA	22.5	NA	NA	8.31	-3.0395	17.94	-4.3261	NA
Lebanon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	27.4	NA	NA	NA	NA	NA	NA	NA
Lesotho	54.18	50.8	59.65	61.2	6.79	11.88	20.28	58.21	40.88	0.9	2.84	77.28	46.58	31.83	29.5	57.1	32.2	17.9	NA	NA	NA	NA	39.6
Liberia	36.48	65.7	68.64	67.7	11.77	16.18	22.06	43.49	28.29	2.37	6.5	89.61	48.62	28.14	24.4	63.8	26.3	20.2	NA	NA	NA	NA	55.1
Libya	NA	35.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Liechtenstein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lithuania	35.15	NA	1.03	NA	12.24	16.62	22.62	42.02	26.84	2.33	6.51	2.03	0.98	0.75	NA	22.2	NA	NA	9.28	-1.7654	19.79	-1.1641	NA
Luxembourg	34.79	NA	NA	NA	11.81	16.51	22.76	41.86	26.47	2.72	7.06	NA	NA	NA	NA	NA	NA	NA	33.44	-2.6718	70.85	-0.5417	NA
Macao SAR, China	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Macedonia, FYR	44.05	NA	1.33	NA	9.52	13.87	21.03	50.19	34.16	2.08	5.39	8.71	2.01	0.36	NA	22.1	NA	NA	4.08	4.9785	9.74	0.7258	NA
Madagascar	42.65	77.2	77.84	81.5	10.03	14.13	20.7	49.42	33.49	2.16	5.73	90.47	57.09	39.23	33.9	75.3	37.5	20.1	NA	NA	NA	NA	51.1
Malawi	46.12	66.7	70.91	56.6	9.19	13.25	19.75	52.37	37.53	2.17	5.45	87.64	51.75	33.29	18.9	50.7	21.4	4.8	NA	NA	NA	NA	17.3
Malaysia	46.26	NA	0.28	1.6	8.64	13.67	21.75	51.38	34.59	1.75	4.56	2.71	0.49	0.04	0.8	0.6	1.8	0.3	NA	NA	NA	NA	0.3
Maldives	38.37	NA	7.26	14.3	11.02	15.72	21.86	45.04	29.94	2.52	6.36	23.26	6.74	1.5	4.1	15.7	3.5	5.3	NA	NA	NA	NA	18.2
Mali	33.04	56.3	49.25	50.6	12.08	16.16	22.5	41.3	25.68	3.32	7.97	77.71	34.56	15.19	13.2	43.6	15.6	4.8	NA	NA	NA	NA	18.9
Malta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marshall Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mauritania	32.42	79.9	5.93	59.4	12.42	16.97	23.07	39.99	24.75	2.98	7.55	22.07	6	1.4	14.5	42	22.3	4.9	NA	NA	NA	NA	20.8
Mauritius	35.84	NA	0.53	NA	11.75	15.72	21.23	43.88	29.04	2.98	7.42	2.96	0.65	0.11	NA	NA	NA	NA	5.54	0.7611	11.56	0.8636	NA
Mexico	48.21	11.1	3.04	62.4	8.83	12.67	18.91	54.53	39.7	1.93	5.07	10.95	3.04	0.81	0.442	53.2	NA	NA	3.51	0.6585	10.69	0.9591	50.5
Micronesia, Fed. Sts.	42.46	NA	17.37	NA	9.98	14.76	22.16	48.09	31.35	1.64	5.01	39.35	14.75	6.35	15.1	41.2	NA	NA	NA	NA	NA	NA	NA
Moldova	26.83	NA	0	18.8	13.73	17.37	22.53	36.65	22.09	4.2	9.72	1.03	0.12	0	1.5	11.4	4.1	1.3	5.48	4.8366	9.35	1.3242	8.2
Monaco	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mongolia	32.04	42.7	0.22	26.4	12.58	16.68	22.32	40.34	25.47	3.3	8.08	2.7	0.46	0.03	5.2	21.6	5.8	4.9	5.46	8.0271	10.58	7.0547	18.8
Montenegro	31.93	NA	0	9.7	12.29	16.59	22.15	40.51	25.72	3.55	8.46	0.5	0.07	0	1.1	8.6	1.5	2.9	7.53	-2.7191	14.51	-2.265	7.9
Morocco	40.64	13.1	6.27	14.4	10.27	14.45	21.02	47.79	32.13	2.63	6.46	25.73	6.77	1.3	1.9	8.9	3.3	0.8	NA	NA	NA	NA	4.8
Mozambique	45.58	80.3	68.74	56.9	9.47	13.74	20.14	51.42	36.78	1.94	5.22	87.54	50.18	31.41	21.2	54.7	22.2	19.1	NA	NA	NA	NA	49.6
