Country.Name	gini_index	pop_living_slums	poverty_headcount_1.9	rural_poverty_headcount	SI.DST.02ND.20	SI.DST.03RD.20	SI.DST.04TH.20	SI.DST.05TH.20	SI.DST.10TH.10	SI.DST.FRST.10	SI.DST.FRST.20	SI.POV.2DAY	SI.POV.GAP2	SI.POV.GAPS	SI.POV.NAGP	SI.POV.NAHC	SI.POV.RUGP	SI.POV.URGP	SI.SPR.PC40	SI.SPR.PC40.ZG	SI.SPR.PCAP	SI.SPR.PCAP.ZG	urban_poverty_headcount
Seychelles	46.82	NA	1.06	NA	9.78	13.33	18.44	53.03	39.88	1.9	5.42	2.46	0.89	0.43	12.6	39.3	NA	NA	NA	NA	NA	NA	NA
Sierra Leone	33.99	75.6	52.33	66.1	11.94	15.83	21.94	42.39	26.88	3.26	7.91	79.96	36.71	16.7	16.1	52.9	21.1	7.7	NA	NA	NA	NA	31.2
Singapore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sint Maarten (Dutch part)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Slovak Republic	26.12	NA	0.24	NA	14.64	18.69	23.2	34.86	20.5	3.13	8.62	0.42	0.19	0.12	NA	12.6	NA	NA	16.27	5.485	28	6.6732	NA
Slovenia	25.59	NA	0.03	NA	14.58	18.16	22.59	35.23	21.07	3.72	9.43	0.05	0.01	0	NA	14.3	NA	NA	19.79	-0.8356	32.97	-0.2797	NA
Solomon Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	12.7	NA	NA	NA	NA	NA	NA	NA
Somalia	NA	73.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
South Africa	63.38	23	16.56	77	4.71	7.97	15.9	68.94	51.26	0.94	2.47	34.68	13.09	4.9	NA	53.8	NA	NA	NA	NA	NA	NA	39.2
South Sudan	46.34	95.6	42.71	55.4	8.59	14.2	22.78	50.56	33.2	1.25	3.86	63.46	32.34	18.91	23.7	50.6	26.5	8.8	NA	NA	NA	NA	24.4
Spain	35.89	NA	NA	NA	11.94	17.03	23.45	41.83	25.9	1.7	5.76	NA	NA	NA	NA	NA	NA	NA	16.04	-1.3208	36.25	0.0031	NA
Sri Lanka	39.16	24.8	1.92	7.6	10.84	14.54	20.52	46.96	32.21	2.98	7.14	14.59	3.03	0.29	1.2	6.7	1.4	0.3	3.37	2.2146	7.51	1.6629	2.1
St. Kitts and Nevis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
